panel,condition,sample,cells_before,cells_after,perc_tot_removed,perc_IT_removed,perc_MAD_removed
intracell,unstim,BAS_ICS_AA22008_2022-03-14_Unstim.fcs,47596,46846,1.575762669,0,1.575762669
intracell,unstim,BAS_ICS_AA22011_2022-04-01_Unstim.fcs,77127,75000,2.757789101,0.164663477,2.268984921
intracell,unstim,BAS_ICS_AA22019_2022-10-18_Unstim.fcs,55762,55500,0.469854022,0,0.469854022
intracell,unstim,BAS_ICS_AA22020_2022-10-25_Unstim.fcs,34727,34727,0,NA,0
intracell,unstim,BAS_ICS_AA23001_2023-02-07_Unstim.fcs,56710,56710,0,0,0
intracell,unstim,BAS_ICS_AA23002_2023-02-17_Unstim.fcs,46194,45750,0.961163788,0,0.961163788
intracell,unstim,BAS_ICS_AA23003_2023-03-27_Unstim.fcs,42240,41250,2.34375,0,2.34375
intracell,unstim,BAS_ICS_AA23004_2023-04-04_Unstim.fcs,54739,54739,0,0,0
intracell,unstim,BAS_ICS_AA23005_2023-07-04_Unstim.fcs,51503,51250,0.49123352,0,0.49123352
intracell,unstim,BAS_ICS_AA23008_2023-05-23_Unstim.fcs,41000,40000,2.43902439,0,2.43902439
intracell,unstim,BAS_ICS_AA23009_2023-06-05_Unstim.fcs,41037,41037,0,0,0
intracell,unstim,BAS_ICS_AA23010_2023-07-03_Unstim.fcs,45551,45551,0,0,0
intracell,unstim,BAS_ICS_AA23015_2023-11-06_Unstim.fcs,49791,49500,0.584442972,0,0.584442972
intracell,unstim,W12_ICS_AA22008_2022-06-23_Unstim.fcs,38994,38994,0,0,0
intracell,unstim,W12_ICS_AA22011_2022-07-21_Unstim.fcs,44122,44000,0.276506051,0,0.276506051
intracell,unstim,W12_ICS_AA22019_2023-02-10_Unstim.fcs,39234,38500,1.870826324,0,1.870826324
intracell,unstim,W12_ICS_AA23001_2023-07-14_Unstim.fcs,38378,38378,0,0,0
intracell,unstim,W12_ICS_AA23002_2023-06-15_Unstim.fcs,43546,43500,0.10563542,0,0.10563542
intracell,unstim,W12_ICS_AA23003_2023-07-20_Unstim.fcs,38720,37750,2.505165289,0.568181818,2.505165289
intracell,unstim,W12_ICS_AA23004_2023-08-15_Unstim.fcs,55499,55000,0.899115299,0,0.899115299
intracell,unstim,W12_ICS_AA23005_2023-10-30_Unstim.fcs,45499,45499,0,0,0
intracell,unstim,W12_ICS_AA23008_2023-10-06_Unstim.fcs,42275,41750,1.241868717,1.182732111,0.059136606
intracell,unstim,W12_ICS_AA23009_2023-10-11_Unstim.fcs,45881,45881,0,0,0
intracell,unstim,W12_ICS_AA23010_2023-11-09_Unstim.fcs,37587,37587,0,0,0
intracell,unstim,W12_ICS_AA23013_2024-02-16_Unstim.fcs,48170,48170,0,0,0
intracell,unstim,W12_ICS_AA23015_2024-02-16_Unstim.fcs,37460,37460,0,0,0
intracell,unstim,W2_ICS_AA22008_2022-04-04_Unstim.fcs,41358,41358,0,0,0
intracell,unstim,W2_ICS_AA22011_2022-05-10_Unstim.fcs,45503,45500,0.006592972,0.006592972,0
intracell,unstim,W2_ICS_AA22019_2022-12-09_Unstim.fcs,42824,42824,0,0,0
intracell,unstim,W2_ICS_AA22020_2022-12-19_Unstim.fcs,40870,40870,0,0,0
intracell,unstim,W2_ICS_AA23001_2023-05-05_Unstim.fcs,39237,38750,1.241175421,0,1.241175421
intracell,unstim,W2_ICS_AA23002_2023-04-05_Unstim.fcs,19145,18500,3.369025855,NA,3.369025855
intracell,unstim,W2_ICS_AA23003_2023-05-16_Unstim.fcs,49699,48699,2.01211292,0,2.01211292
intracell,unstim,W2_ICS_AA23004_2023-05-19_Unstim.fcs,54586,52000,4.737478474,0.157549555,3.363499798
intracell,unstim,W2_ICS_AA23005_2023-08-23_Unstim.fcs,52689,52689,0,0,0
intracell,unstim,W2_ICS_AA23008_2023-07-24_Unstim.fcs,38187,38187,0,0,0
intracell,unstim,W2_ICS_AA23009_2023-08-01_Unstim.fcs,50811,50811,0,0,0
intracell,unstim,W2_ICS_AA23010_2023-08-28_Unstim.fcs,41726,41726,0,0,0
intracell,unstim,W2_ICS_AA23013_2023-12-08_Unstim.fcs,47695,47195,1.048327917,0,1.048327917
intracell,unstim,W2_ICS_AA23015_2023-12-01_Unstim.fcs,43667,43667,0,0,0
intracell,unstim,W24_ICS_AA22008_2022-09-12_Unstim.fcs,43313,43313,0,0,0
intracell,unstim,W24_ICS_AA22011_2022-10-20_Unstim.fcs,55742,54000,3.125112124,0,3.125112124
intracell,unstim,W24_ICS_AA22019_2023-05-03_Unstim.fcs,53689,53689,0,0,0
intracell,unstim,W24_ICS_AA22020_2023-06-01_Unstim.fcs,30094,28750,4.466006513,NA,4.466006513
intracell,unstim,W24_ICS_AA23001_2023-10-17_Unstim.fcs,53560,53500,0.112023898,0,0.112023898
intracell,unstim,W24_ICS_AA23002_2023-09-07_Unstim.fcs,41307,41250,0.13799114,0,0.13799114
intracell,unstim,W24_ICS_AA23003_2023-10-16_Unstim.fcs,48404,48404,0,0,0
intracell,unstim,W24_ICS_AA23004_2023-11-06_Unstim.fcs,53984,53984,0,0,0
intracell,unstim,W24_ICS_AA23005_2024-01-19_Unstim.fcs,46657,46250,0.872323553,0,0.872323553
intracell,unstim,W24_ICS_AA23008_2024-01-02_Unstim.fcs,46634,46634,0,0,0
intracell,unstim,W24_ICS_AA23009_2024-01-03_Unstim.fcs,38184,38000,0.481877226,0,0.481877226
intracell,unstim,W24_ICS_AA23010_2024-02-05_Unstim.fcs,42440,42440,0,0,0
intracell,unstim,W24_ICS_AA23013_2024-05-09_Unstim.fcs,44116,44116,0,0,0
intracell,unstim,W24_ICS_AA3015_2024-05-10_Unstim.fcs,38653,38653,0,0,0
intracell,unstim,W36_ICS_AA22011_2023-01-09_Unstim.fcs,44188,43688,1.131528922,1.131528922,0
intracell,unstim,W36_ICS_AA22019_2023-07-27_Unstim.fcs,55066,54750,0.573856826,0,0.573856826
intracell,unstim,W36_ICS_AA22020_2023-09-07_Unstim.fcs,33028,33000,0.084776553,NA,0.084776553
intracell,unstim,W36_ICS_AA23001_2024-01-10_Unstim.fcs,48042,48042,0,0,0
intracell,unstim,W36_ICS_AA23003_2024-01-08_Unstim.fcs,50618,50500,0.233118653,0,0.233118653
intracell,unstim,W36_ICS_AA23004_2024-02-02_Unstim.fcs,53800,53750,0.092936803,0,0.092936803
intracell,unstim,W36_ICS_AA23005_2024-04-12_Unstim.fcs,42097,42097,0,0,0
intracell,unstim,W36_ICS_AA23008_2024-04-16_Unstim.fcs,46618,45500,2.398215282,0,2.398215282
intracell,unstim,W36_ICS_AA23009_2024-03-25_Unstim.fcs,46732,44250,5.311135838,2.139861337,2.101343833
intracell,unstim,W36_ICS_AA23010_2024-05-03_Unstim.fcs,41666,41000,1.598425575,0,1.598425575
intracell,unstim,W36_ICS_AA23013_2024-07-31_Unstim.fcs,50063,50063,0,0,0
intracell,unstim,W36_ICS_AA23015_2024-07-30_Unstim.fcs,47532,47250,0.593284524,0,0.593284524
intracell,unstim,W48_ICS_AA22008_2023-02-27_Unstim.fcs,36748,36748,0,NA,0
intracell,unstim,W48_ICS_AA22011_2023-04-14_Unstim.fcs,45385,45385,0,0,0
intracell,unstim,W48_ICS_AA22019_2023-10-16_Unstim.fcs,44326,44250,0.171456933,0,0.171456933
intracell,unstim,W48_ICS_AA22020_2023-12-07_Unstim.fcs,32727,32727,0,NA,0
intracell,unstim,W48_ICS_AA23001_2024-04-11_Unstim.fcs,36425,36425,0,NA,0
intracell,unstim,W48_ICS_AA23002_2024-02-29_Unstim.fcs,23805,22750,4.43184205,NA,4.43184205
intracell,unstim,W48_ICS_AA23003_2024-04-15_Unstim.fcs,26316,26250,0.250797994,NA,0.250797994
intracell,unstim,W48_ICS_AA23004_2024-04-22_Unstim.fcs,47510,47250,0.54725321,0,0.54725321
intracell,unstim,W48_ICS_AA23005_2024-07-09_Unstim.fcs,47066,47066,0,0,0
intracell,unstim,W48_ICS_AA23008_2024-08-23_Unstim.fcs,46783,46750,0.070538443,0,0.070538443
intracell,unstim,W48_ICS_AA23009_2024-06-21_Unstim.fcs,41414,41414,0,0,0
intracell,unstim,W48_ICS_AA23010_2024-07-31_Unstim.fcs,50814,49250,3.07789192,0,2.459951982
intracell,unstim,W48_ICS_AA23013_2024-11-04_Unstim.fcs,43432,43432,0,0,0
intracell,unstim,W48_ICS_AA23015_2024-10-23_Unstim.fcs,39822,39500,0.808598262,0,0.808598262
intracell,unstim,W6_ICS_AA22008_2022-05-02_Unstim.fcs,49704,49704,0,0,0
intracell,unstim,W6_ICS_AA22020_2023-01-24_Unstim.fcs,38433,38000,1.126635964,0,1.126635964
intracell,unstim,W6_ICS_AA23001_2023-06-01_Unstim.fcs,54130,54130,0,0,0
intracell,unstim,W6_ICS_AA23002_2023-05-03_Unstim.fcs,45078,44578,1.109188518,1.109188518,0
intracell,unstim,W6_ICS_AA23003_2023-06-12_Unstim.fcs,48266,48250,0.033149629,0.033149629,0
intracell,unstim,W6_ICS_AA23004_2023-06-26_Unstim.fcs,52372,52372,0,0,0
intracell,unstim,W6_ICS_AA23008_2023-08-23_Unstim.fcs,54064,53500,1.04320805,0,1.04320805
intracell,unstim,W6_ICS_AA23009_2023-08-30_Unstim.fcs,51157,51157,0,0,0
intracell,unstim,W6_ICS_AA23010_2023-09-26_Unstim.fcs,45538,45500,0.083446792,0.083446792,0
intracell,unstim,W6_ICS_AA23013_2024-01-05_Unstim.fcs,52809,52809,0,0,0
intracell,unstim,W6_ICS_AA23015_2024-01-03_Unstim.fcs,47926,47926,0,0,0
surface,peanut,BAS_SUR_AA22008_2022-03-14_Peanut1.fcs,82314,80000,2.811186432,0,2.811186432
surface,peanut,BAS_SUR_AA22011_2022-04-01_Peanut.fcs,211234,185734,12.07192024,0,12.07192024
surface,peanut,BAS_SUR_AA22019_2022-10-18_Peanut.fcs,221847,204847,7.662938872,0,7.662938872
