filename,panel,condition,cell_count
W48_ICS_AA22011_2023-04-14_Peanut.fcs,intracell,peanut,44356
W48_ICS_AA22019_2023-10-16_Peanut.fcs,intracell,peanut,44069
W48_ICS_AA22020_2023-12-07_Peanut.fcs,intracell,peanut,36656
W48_ICS_AA23001_2024-04-11_Peanut.fcs,intracell,peanut,33732
W48_ICS_AA23002_2024-02-29_Peanut.fcs,intracell,peanut,40783
W48_ICS_AA23003_2024-04-15_Peanut.fcs,intracell,peanut,42119
W48_ICS_AA23004_2024-04-22_Peanut1.fcs,intracell,peanut,41998
W48_ICS_AA23004_2024-04-22_Peanut2.fcs,intracell,peanut,41591
W48_ICS_AA23005_2024-07-09_Peanut.fcs,intracell,peanut,48758
W48_ICS_AA23008_2024-08-23_Peanut.fcs,intracell,peanut,45314
W48_ICS_AA23009_2024-06-21_Peanut.fcs,intracell,peanut,42856
W48_ICS_AA23010_2024-07-31_Peanut.fcs,intracell,peanut,58328
W48_ICS_AA23013_2024-11-04_Peanut.fcs,intracell,peanut,44035
W48_ICS_AA23015_2024-10-23_Peanut.fcs,intracell,peanut,40477
W6_ICS_AA22008_2022-05-02_Peanut.fcs,intracell,peanut,42781
W6_ICS_AA22019_2023-01-04_Peanut.fcs,intracell,peanut,51627
W6_ICS_AA22020_2023-01-24_Peanut.fcs,intracell,peanut,33850
W6_ICS_AA23001_2023-06-01_Peanut.fcs,intracell,peanut,53045
W6_ICS_AA23002_2023-05-03_Peanut.fcs,intracell,peanut,47043
W6_ICS_AA23003_2023-06-12_Peanut.fcs,intracell,peanut,47771
W6_ICS_AA23004_2023-06-26_Peanut.fcs,intracell,peanut,53139
W6_ICS_AA23005_2023-09-19_Peanut.fcs,intracell,peanut,50567
W6_ICS_AA23008_2023-08-23_Peanut.fcs,intracell,peanut,50290
W6_ICS_AA23009_2023-08-30_Peanut.fcs,intracell,peanut,46639
W6_ICS_AA23010_2023-09-26_Peanut1.fcs,intracell,peanut,39757
W6_ICS_AA23010_2023-09-26_Peanut2.fcs,intracell,peanut,38410
